1	2.1698
8	1.1698
44	0.85544
114	0.77559
124	0.36456
251	0.33925
280	0.32462
324	0.32334
338	0.32314
370	0.32303
413	0.32301
714	0.1646
759	0.16459
781	0.16457
792	0.16454
803	0.16447
814	0.16435
825	0.16411
836	0.16371
847	0.16313
858	0.16295
871	0.16188
883	0.16011
896	0.15904
900	0.15378
918	0.11633
930	0.098146
946	0.069654
962	0.068309
1005	0.059222
1069	0.05919
1100	0.059185
1127	0.059179
1171	0.059178
1483	0.048197
1493	0.047884
1504	0.047878
1515	0.047872
1523	0.036352
1537	0.036345
1547	0.033899
1558	0.033894
1569	0.03389
1580	0.033882
1591	0.033867
1602	0.033841
1613	0.033803
1623	0.030221
1635	0.030187
1648	0.029922
1661	0.029872
1677	0.029596
1721	0.029593
1748	0.029584
2000	0.029584
