1	2.611
17	2.296
63	1.7924
84	1.4642
108	1.0144
114	0.90193
145	0.85088
213	0.82968
216	0.8175
234	0.81333
247	0.81164
255	0.80178
270	0.79985
284	0.79942
291	0.7991
306	0.79905
317	0.79899
333	0.79897
338	0.79891
345	0.79889
364	0.41661
370	0.41405
374	0.41157
378	0.40684
382	0.39831
386	0.385
390	0.37353
396	0.30209
398	0.25498
408	0.096922
417	0.039203
439	0.036463
448	0.020504
471	0.020334
478	0.020043
493	0.019844
502	0.019775
518	0.019756
526	0.019748
541	0.019725
550	0.019721
566	0.01972
623	0.019719
951	0.0053328
956	0.0053326
961	0.0053324
966	0.0053319
971	0.0053309
976	0.005329
981	0.0053252
986	0.0053179
991	0.0053042
996	0.0052806
1001	0.0052485
1006	0.0052447
1012	0.0044393
1018	0.0038477
1023	0.0037796
1029	0.0023806
1035	0.0018383
1044	0.00018933
1062	8.951e-06
1086	7.2752e-06
1102	6.3302e-06
1107	1.4042e-06
1114	4.592e-07
1132	9.2686e-08
1148	6.6187e-08
1166	2.6997e-08
1179	7.322e-09
1188	8.3694e-10
1204	8.0201e-10
1222	1.1324e-13
1684	8.6708e-14
1726	2.9976e-15
1740	6.6613e-16
1794	3.3307e-16
2000	3.3307e-16
